additive,category,health_concern,grade,safety_label
acetic acid,Preservative,,1,Safe
acesulfame potassium,Sweetener,Cancer,7,Avoid
advantame,Sweetener,,1,Safe
alginate,Thickener,,1,Safe
allulose,Sweetener,Digestive,3,Moderate Consumption
aloe vera,Flavoring,Cancer,7,Avoid
ammonium compounds,Preservative,,1,Safe
amylase,Flavoring,,1,Safe
annatto,Coloring,Allergies & Sensitivities,4,Limit Consumption
artificial and natural flavoring,Flavoring,Cancer,4,Limit Consumption
artificial flavor,Flavoring,Cancer,4,Limit Consumption
natural flavor,Flavoring,Cancer,4,Limit Consumption
artificial sweeteners,Sweetener,,5,Caution
ascorbyl palmitate,Preservative,,1,Safe
aspartame,Sweetener,Cancer,7,Avoid
autolyzed yeast extract,Flavoring,Allergies & Sensitivities,4,Limit Consumption
yeast extract,Flavoring,Allergies & Sensitivities,4,Limit Consumption
azodicarbonamide,Coloring,Cancer,7,Avoid
beta-carotene,Coloring,,1,Safe
bha,Preservative,Cancer,7,Avoid
bht,Preservative,Cancer,5,Caution
blue 1,Coloring,Neurological & Behavioral,7,Avoid
red 40,Coloring,Neurological & Behavioral,7,Avoid
yellow 5,Coloring,Neurological & Behavioral,7,Avoid
brazzein,Sweetener,Allergies & Sensitivities,5,Caution
brominated vegetable oil,Emulsifier,Neurological & Behavioral,7,Avoid
butylated hydroxyanisole,Preservative,Cancer,7,Avoid
butylated hydroxytoluene,Preservative,Cancer,5,Caution
caffeine,Vitamins & Supplements,Neurological & Behavioral,4,Limit Consumption
calcium propionate,Preservative,,1,Safe
caramel color,Coloring,Cancer,7,Avoid
caramel coloring,Coloring,Cancer,7,Avoid
carboxymethyl cellulose,Other,Digestive,5,Caution
carmine,Coloring,Allergies & Sensitivities,4,Limit Consumption
carrageenan,Thickener,Cancer,5,Caution
casein,Coloring,Allergies & Sensitivities,4,Limit Consumption
castoreum,Flavoring,,1,Safe
cellulose,Emulsifier,,1,Safe
citric acid,Flavoring,,1,Safe
corn syrup,Sweetener,Obesity,3,Moderate Consumption
cyclamate,Sweetener,Cancer,7,Avoid
cysteine,Preservative,,1,Safe
datem,Emulsifier,,1,Safe
dextrin,Emulsifier,,1,Safe
dextrose,Sweetener,Obesity,3,Moderate Consumption
diacetyl,Flavoring,Respiratory,5,Caution
diacylglycerol,Oil & Oil Substitutes,,1,Safe
disodium edta,Preservative,,1,Safe
edta,Other,,1,Safe
erythorbic acid,Preservative,,1,Safe
erythritol,Sweetener,,1,Safe
ferrous gluconate,Coloring,,1,Safe
fructose,Sweetener,Cardiovascular,3,Moderate Consumption
fumaric acid,Flavoring,,1,Safe
gelatin,Thickener,,1,Safe
ginkgo biloba,Vitamins & Supplements,Cancer,7,Avoid
ginseng,Vitamins & Supplements,,1,Safe
gluconic acid,pH Control,,1,Safe
glycerin,Other,,1,Safe
disodium guanylate,Flavoring,,1,Safe
guarana,Vitamins & Supplements,Neurological & Behavioral,4,Limit Consumption
guar gum,Thickener,Allergies & Sensitivities,4,Limit Consumption
xanthan gum,Thickener,Allergies & Sensitivities,4,Limit Consumption
high-fructose corn syrup,Sweetener,Cardiovascular,3,Moderate Consumption
high fructose corn syrup,Sweetener,Cardiovascular,3,Moderate Consumption
high-maltose corn syrup,Sweetener,,3,Moderate Consumption
hydrolyzed vegetable protein,Flavoring,Allergies & Sensitivities,4,Limit Consumption
hydrolyzed,Flavoring,Allergies & Sensitivities,4,Limit Consumption
disodium inosinate,Flavoring,,1,Safe
inter-esterified oil,Oil & Oil Substitutes,,1,Safe
inulin,Vitamins & Supplements,,1,Safe
invert sugar,Sweetener,Obesity,3,Moderate Consumption
isolated soy protein,Vitamins & Supplements,,1,Safe
soy protein isolate,Vitamins & Supplements,,1,Safe
isomalt,Sweetener,Digestive,3,Moderate Consumption
lactic acid,Preservative,,1,Safe
lactitol,Sweetener,Digestive,3,Moderate Consumption
lactose,Vitamins & Supplements,Allergies & Sensitivities,4,Limit Consumption
